No of dam,WARMS Dam ID,Name of dam,Water management area,Quaternary Drainage Area,Latitude deg,Lat min,Lat sec,Longitude deg,Long min,Long sec,Town nearest,Distance from Town,Name of farm,Municipal District,Province code,Region Code,Completion date,Completion date raised,River or Watercourse,Wall type,Wall height,Crest Length (m),Spillway Type,Capacity (1000 cub m),Surface area (ha),Catchment area (sq km)),Purpose,Owner Name,Designer,Contractor,Registration date,Size,Hazard Potential,Category,Classification date,Sector,Date Last DSI,Number Last DSI,Target date
G101/CH,,MARITZ DAM,9,G10A,33,53,15,19,6,6,FRANSHOEK,3,PLAAS 1066 (DENNEGEUR),,WESTERN CAPE,WESTERN CAPE,1956,,FRANSCHHOEK RIVER TR.,EARTHFILL,12,380,SIDE CHANNEL SPILLWAY,65,2,,IRRIGATION,HUGO D.A.,STATE - DWA,TABLE MOUNTAIN PLANT HIRE,2/2/1993,Medium,Significant,2,2/21/1994,A,3/31/1996,1,3/31/1996
G101/CJ,,PAARDEBERG BOONSTE DAM,9,G10D,33,37,39,18,50,52,PAARL,16,STAART VAN PAARDENBERG 171,PAARL,WESTERN CAPE,WESTERN CAPE,1965,,SAND RIVER,EARTHFILL,6,350,SIDE CHANNEL SPILLWAY,54,1,,IRRIGATION,LA GRANGE A.B.,DU TOIT S.G.,DU TOIT S.G.,6/16/1993,Small,Low,1,2/21/1994,A,,0,
G101/CK,,STAART VAN PAARDEBERG DAM,9,G10D,33,37,37,18,50,24,PAARL,20,STAART VAN PAARDEBERG 171 REM.,,WESTERN CAPE,WESTERN CAPE,0,,LTL/KLN SAND RIVER TR.,EARTHFILL,5,300,INFORMATION NOT AVAILABLE,50,2,,IRRIGATION,VAN DER WESTHUIZEN M.,MANUEL H.E.,UNKNOWN,4/10/1993,Small,Low,1,2/21/1994,A,,0,
G101/CL,,PAARDEBERG ONDERSTE DAM,9,G10D,33,37,32.1,18,51,32.5,PAARL,16,STAART VAN PAARDENBERG 171,,WESTERN CAPE,WESTERN CAPE,1962,,KLEIN SAND RIVER,EARTHFILL,6,150,SIDE CHANNEL SPILLWAY,636,2,,IRRIGATION,LA GRANGE A.B.,LANDBOU INGENIEURSWESE,CARSTENS T.,6/16/1993,Small,Low,1,2/21/1994,A,,0,
G101/CM,,PARADISE GEESEVLAKTE BRICKS DAM,9,G10C,33,45,37,18,53,34,PAARL,7,VRYMANSFONTEIN PROPER 712,,WESTERN CAPE,WESTERN CAPE,1952,,VANWYKS RIVER TR.,EARTHFILL,6,400,OPEN CHANNEL,131,10,,IRRIGATION,GENERAL MANAGER,NINHAM SHAND,DU TOIT,11/17/1993,Small,Low,1,6/28/1994,A,,0,
G101/CN,,OOM-KOOS-SE DAM,9,G10C,33,45,9,18,54,29.6,PAARL,7,VRYMANSFONTEIN PROPER 712,,WESTERN CAPE,WESTERN CAPE,1952,,VAN WYKS RIVER TR.,EARTHFILL,11.9,150,SIDE CHANNEL SPILLWAY,72,1,,IRRIGATION,FAURE HOLDINGS (PTY) LTD.,STATE - DWA,DU TOIT,11/17/1993,Small,Low,1,3/29/1994,A,,0,
G101/CO,,BRAK DAM,9,G10C,33,46,37,18,54,8,PAARL,5,FARM 1363 PTN C,,WESTERN CAPE,WESTERN CAPE,1955,,,EARTHFILL,7,290,OPEN CHANNEL,112,3,,IRRIGATION,RAPOSO C.,GROND BEWARING,OWNER,11/17/1993,Small,Low,1,1/29/2013,A,,0,
G101/CP,,LANDSKROON DAM,9,G10C,33,46,18,18,54,10,PAARL,5,LANDSKROON 709,,WESTERN CAPE,WESTERN CAPE,1963,,"VAN WYK'S RIVER, TRIBU",EARTHFILL,8.5,480,OPEN CHANNEL,330,10,6.96,IRRIGATION,LANDSKROON WINE ESTATE,UNKNOWN,T. CARSTENS,11/17/1993,Small,Significant,2,6/12/2013,A,2/3/2014,1,
G101/CQ,,KOPLAND DAM,9,G10C,33,47,9,18,55,3,PAARL,5,ELDEMKOOLFONTEIN ANNEX 701 (FAIRVIEW),,WESTERN CAPE,WESTERN CAPE,1992,,VAN WYKS RIVER TR.,EARTHFILL,6,0,SIDE CHANNEL SPILLWAY,177,5,,IRRIGATION,BACK C.,DCU ENGINEERING,STEENKAMP,11/17/1993,Small,Low,1,6/28/1994,A,,0,
G101/CS,2735,NORMANDY DAM,9,G10C,33,53,52,18,59,6,GROOT DRAKENSTEIN,5,GED 7 VAN NORMANDY  1170,PAARL,WESTERN CAPE,WESTERN CAPE,1998,,,EARTHFILL,10.2,0,OPEN CHANNEL,220,3.2,,IRRIGATION,STELLMEL INVESTMENTS CC.,M.J. VAN ZYL,UNKNOWN,2/10/2014,Small,Low,1,4/21/1994,A,,0,
G101/CT,,VLEI DAM,9,G10D,33,39,19,19,1,45,WELLINGTON,3,FARM    NO     1596,PAARL,WESTERN CAPE,WESTERN CAPE,1996,,SLANG RIVER TR.,EARTHFILL,6,350,OPEN CHANNEL,70,2,,IRRIGATION,ARAUNA  TRUST,LANDBOU INGENIEURSWESE,CARSTENS,9/10/2004,Small,Low,1,6/8/1994,A,,0,3/31/2006
G101/CU,,SERWITUUT DAM,9,G10A,33,55,50,19,7,58,FRANSCHOEK,2,PLAAS 1134,,WESTERN CAPE,WESTERN CAPE,1978,,FRANSCHOEK RIVER TR.,EARTHFILL,10,200,OPEN CHANNEL,80,2,,IRRIGATION,RODITTI S.N.,UNKNOWN,COETZEE EN SEUNS,5/4/1994,Small,Low,1,8/4/1994,A,,0,
G101/CV,,St. CLEMENT DAM,9,G10D,33,35,56,18,51,46,PAARL,20,REM OF PERSEEL C (VONDELING),,WESTERN CAPE,WESTERN CAPE,1976,,BOT RIVER,EARTHFILL,9,750,OGEE SPILLWAY,110,5,,IRRIGATION,THE MICDAVE TRUST,UNKNOWN,OWNER,9/1/1993,Small,Low,1,7/13/1994,A,,0,
G101/CX,,HARTEBEESKRAAL DAM,9,G10C,33,47,8,18,59,42,PAARL,7,HARTEBEESKRAAL 844,PAARL,WESTERN CAPE,WESTERN CAPE,1980,,BERG RIVER TR.,EARTHFILL,7,535,OPEN CHANNEL,160,3.3,,IRRIGATION,HARTEBEESKRAAL BELEGGINGS (EDMS) BPK,UNKNOWN,UNKNOWN,8/9/1994,Small,Significant,2,1/10/1995,A,7/7/2005,1,9/28/1998
G101/CY,,WELTEVREDE DAM,9,G10D,33,36,50,18,51,13,PAARL,20,SCHOON OORD 156,,WESTERN CAPE,WESTERN CAPE,1984,,LTL/KLN SAND RIVER TR.,EARTHFILL,6,220,INFORMATION NOT AVAILABLE,60,4,,IRRIGATION,VAN NIEKERK K. VAN WYK,OWNER,OWNER,10/3/1994,Small,Low,1,1/10/1995,A,,0,
G101/CZ,,MIDDEL DAM,9,G10D,33,36,50,18,51,31,PAARL,15,SCHOONE OORD 154,,WESTERN CAPE,WESTERN CAPE,0,,KLEIN SAND RIVER,EARTHFILL,7,150,INFORMATION NOT AVAILABLE,55,2,,IRRIGATION,DE WAAL P.,UNKNOWN,UNKNOWN,10/19/1994,Small,Low,1,1/17/1995,A,,0,
G101/DA,,DIE HOEK DAM,9,G10D,33,37,32,18,50,45,PAARL,20,STAART VAN PAARDEBERG 171 PTN. 169,,WESTERN CAPE,WESTERN CAPE,1978,,SAND RIVER TR.,EARTHFILL,7,250,INFORMATION NOT AVAILABLE,54,3,,IRRIGATION,VAN NIEKERK K. VAN WYK,UNKNOWN,UNKNOWN,11/28/1994,Small,Low,1,1/10/1995,A,,0,
G101/DB,,ZWARTFONTEIN DAM,9,G10D,33,30,36,18,54,42,MALMESBURY,17,RESTANT VAN ZWARTFONTEIN 792,,WESTERN CAPE,WESTERN CAPE,1995,,BERG RIVER TR.,EARTHFILL,11.7,280,OPEN CHANNEL,160,3.8,,IRRIGATION,HOOGENFONTEIN BOERDERY EDMS. BPK.,BOLAND OPMETING,UNKNOWN,7/3/2002,Small,Low,1,2/23/1995,A,,0,
G101/DD,,DOORNBOOM DAM (Previously Lieliefontein),9,G10D,33,37,40,19,2,0,WELLINGTON,3,"ERF 66, WELLINGTON",,WESTERN CAPE,WESTERN CAPE,1967,,KROM RIVER TR.,EARTHFILL,10,550,OGEE SPILLWAY,136,3,0,IRRIGATION,DE BOS LANDGOD(PTY) LTD,UNKNOWN,UNKNOWN,2/20/1995,Small,Significant,2,3/14/1996,A,2/25/2015,1,
G101/DE,,DONKERHOEK DAM,9,G10C,33,50,30,18,55,45,PAARL,10,DONKERHOEK 956,,WESTERN CAPE,WESTERN CAPE,1996,,BERG RIVER TR.,EARTHFILL,14,194,SIDE CHANNEL SPILLWAY,96,2,,IRRIGATION,DONKERHOEK FRUIT SYNDICATE (PTY) LTD,TECNOCONSULT (TWORECK W.C.),COETZEE EN SEUNS,5/28/1996,Medium,Significant,2,3/16/1995,A,2/15/2004,1,
G101/DG,,ROELANDA DAM,9,G10D,33,40,0,18,55,20,WELLINGTON,7,ROELANDA 1415,,WESTERN CAPE,WESTERN CAPE,0,,BERG RIVER TR.,EARTHFILL,7,350,SIDE CHANNEL SPILLWAY,60,2,,IRRIGATION,ROBINSON DANIEL FARMS (PTY) LTD,UNKNOWN,UNKNOWN,7/26/1995,Small,Significant,2,6/18/1996,A,,0,10/30/2015
G101/DI,,BORDJE DAM,9,G10D,33,40,10,18,53,46,PAARL,10,BORDJE OUTSPAN 174 PTN. 13,,WESTERN CAPE,WESTERN CAPE,1996,,SAND RIVER,EARTHFILL,11.9,334,OPEN CHANNEL,145,3,,IRRIGATION,A.H.I. PLASE (EDMS) BPK.,BOLAND OPMETING,LULENCO PLANT HIRE,3/25/1996,Small,Low,1,10/12/1995,A,,0,
G101/DJ,,KERSFONTEIN DAM,9,G10D,33,34,36,18,52,6.3,DE RUST,2,DE HOOP,,WESTERN CAPE,WESTERN CAPE,1990,,BOT RIVER TR.,EARTHFILL,8,385,OPEN CHANNEL,241,2,,IRRIGATION,MAREE J.,UNKNOWN,P. WOLFAARDT,4/11/1990,Small,Low,1,4/22/1996,A,,0,
G101/DK,,RAINBOW'S END DAM,9,G10C,33,56,6,18,56,47,STELLENBOSCH,15,PORTION 11 OF THE FARM DWARS RIVIER HOEK 122,STELLENBOSCH,WESTERN CAPE,WESTERN CAPE,2002,,BANGHOEK RIVER TRIB.,EARTHFILL,14.3,330,UNCONTROLLED 500 mm dia. CONCRETE PIPE,26,1,,IRRIGATION,DIE MERINDOL TRUST,K.D. ELLIOTT,NASIONALE LANDBOU DIENSTE BK,9/30/2003,Medium,Low,2,6/13/1997,A,8/24/2007,1,
G101/DL,,TOP DAM (WAS BACKSBERG NR5 DAM),9,G10C,33,50,1,18,55,1,KLAPMUTS,10,KLEIN BABYLONS TOREN 1380,PAARL,WESTERN CAPE,WESTERN CAPE,0,,SIMONSBERG RIVER TR.,EARTHFILL,23,160,OGEE (OVERFLOW),240,2,0.01,IRRIGATION,BACKSBERG TRUST,NINHAM SHANDS,MURRAY STEWART,1/2/2014,Medium,Significant,2,3/10/1998,A,8/24/2007,1,9/30/2015
G101/DO,,BO DAM,9,G10D,33,38,7,19,2,3,WELLINGTON,2,DE GROENFONTEIN,PAARL,WESTERN CAPE,WESTERN CAPE,1976,,OFF RIVER STORAGE,EARTHFILL,10.6,440,NONE,170,3.2,,IRRIGATION,JOUBERT G.R.,UNKNOWN,NATIONAL TRACTORS,3/13/2003,Small,Significant,2,2/11/2000,A,6/5/2006,1,
G101/DP,,BOONSTE DAM,9,G10D,33,38,34,18,50,22,WINDMEUL,8,STAART VAN PAARDEBERG PTN. 2,,WESTERN CAPE,WESTERN CAPE,0,,,EARTHFILL,10,0,OPEN CHANNEL,120,0,,IRRIGATION,W.P. DREYER TRUST,SINCLAIR + ASSOSIATE,UNKNOWN,2/19/1999,Small,Low,1,12/14/2009,A,,0,
G101/DQ,,ONDERSTE DAM,9,G10D,33,38,51,18,51,11,WINDMEUL,8,KNOLEFONTEIN 170,,WESTERN CAPE,WESTERN CAPE,0,,SAND RIVER,EARTHFILL,8,0,OPEN CHANNEL,80,0,,IRRIGATION,W.P. DREYER TRUST,SINCLAIR + ASSOSIATE,UNKNOWN,2/19/1999,Small,Low,1,12/14/2009,A,,0,
G101/DW,425,PAD DAM,9,G10D,33,39,46,19,0,17,WELLINGTON,6,FARM 1524 (DEESON),PAARL,WESTERN CAPE,WESTERN CAPE,1930,,,EARTHFILL,6,350,OPEN CHANNEL,100,0,0,IRRIGATION,FE STEYTLER,,,12/6/2013,Small,Significant,2,12/6/2013,A,,0,
G101/DY,440,SMIT GROOT DAM,9,G10D,33,39,25,19,2,38,WELLINGTON,2,HAWEQUAS 295 ERF 1614,PAARL,WESTERN CAPE,WESTERN CAPE,1998,,LEEU RIVER TR,EARTHFILL,9.3,265,OPEN CHANNEL,196,0.77,0,IRRIGATION,HF SMIT BOERDERY,,,12/11/2013,Small,Significant,2,12/24/2013,A,,0,
G101/DZ,410,NEWTON DAM,9,G10D,33,40,12,19,0,26,WELLINGTON,8,FARM 1524 (DEESON),PAARL,WESTERN CAPE,WESTERN CAPE,1960,,,EARTHFILL,10,450,OPEN CHANNEL,103,2.7,0,IRRIGATION,DIEMERSFONTEIN PROPERTIES (PTY) LTD,,,12/6/2013,Small,Significant,2,12/6/2013,A,4/10/2014,1,4/30/2021
G101/EA,0,ADREM DAM,9,G10D,33,35,35,19,0,36,WELLINGTON,5,OLIFANTSKOP 206 (WAMAKERSVALLEI) REM,PAARL,WESTERN CAPE,WESTERN CAPE,1988,,,EARTHFILL,5.5,100,SIDE CHANNEL,70,1,0,,WAMAKERSVALEI BOERDERY,,,12/6/2013,Small,Significant,2,12/6/2013,A,,0,
G101/EB,0,ST LOUCIA DAM,9,G10D,33,42,44.7,19,1,0.8,PAARL,7,ST. OMER 637 / FARM 1549,PAARL,WESTERN CAPE,WESTERN CAPE,1967,,,EARTHFILL,6,350,,70,4.27,0,IRRIGATION,D. GROBBELAAR TRUST,,,2/10/2014,Small,Significant,2,5/15/2014,A,,0,
G101/ED,0,ROOIHEUWEL DAM,9,G10D,33,35,7,18,59,24,WELLINGTON,6,OLIPHANTS KOP 122,PAARL,WESTERN CAPE,WESTERN CAPE,1994,,,EARTHFILL,6,120,SIDE CHANNEL,60,3,0,IRRIGATION,ROOIHEUWELTRUST,,,12/11/2013,Small,Significant,2,12/11/2013,A,,0,
G101/EF,,DAMN DAM,9,G10A,33,53,53.01,19,1,13.58,FRANSCHHOEK,10,BELLINGHAM 1368,PAARL,WESTERN CAPE,WESTERN CAPE,2003,,WATERVAL (BERG RIVER TRB.),ROCKFILL,13,800,OPEN CHANNEL,500,6.4,0.07,IRRIGATION,TERZOCEPT INVESTMENTS (PTY) LTD.,J. VAN BREDA,LULENCO PLANT HIRE,3/28/2003,Medium,Significant,2,5/3/2001,A,2/6/2015,1,
G101/EI,,GROOT  (DAM 1),9,G10C,33,53,49,19,0,45,PAARL,17,WATERFALL1159  PTN 1,PAARL,WESTERN CAPE,WESTERN CAPE,,,WATERVAL,EARTHFILL,25.5,420,BYWASH,440,5,0.4,IRRIGATION,L'ORMARINS  (PTY)  LTD,SIPPEL  AND  DE  LANGE,UNKNOWN,3/12/2007,Medium,Significant,2,2/27/2007,A,2/4/2015,1,
G101/EJ,,BO  DAM (DAM  2),9,G10C,33,54,11,19,0,23,FRANSCHHOEK,17,WATERFALL 1159 OF PORTION  1,PAARL,WESTERN CAPE,WESTERN CAPE,,,WATERVAL RIVER,EARTHFILL,28,27,OPEN  CHANNEL,150,2.4,,IRRIGATION,L'ORMARINS (PTY)  LTD,UNKNOWN,UNKNOWN,3/7/2007,Medium,Significant,2,2/27/2007,A,2/2/2015,1,11/28/2014
G101/EK,,KLOOF,9,G10C,33,53,35,19,0,13.3,FRANSCHHOEK,10,REM.  OF  L'ORMARINS  1166,PAARL,WESTERN CAPE,WESTERN CAPE,2008,,TRIB.  OF  BERG RIVER,EARTHFILL,21,150,OPEN CHANNEL,129,1.7,0.31,IRRIGATION,L'ORMARINS  (PTY) LTD.,J VAN BREDA,LULENCO (EDMS) BPK,2/27/2007,Medium,Significant,2,2/27/2007,A,11/5/2015,1,
G101/EQ,0,BOTTOM,9,G10D,33,34,21.6,19,2,48.3,WELLINGTON,13,REM. KRUISHOF 114 & 115,PAARL,WESTERN CAPE,WESTERN CAPE,,,KOMPAGNIES,EARTHFILL,14.3,390,SIDE CHANNEL,185,3.6,0,IRRIGATION,LETUCHE FARMING (PTY) LTD.,,,9/13/2010,Medium,Low,2,8/31/2010,A,,0,7/31/2016
G101/ES,0,MIDDLE,9,G10D,33,34,23.6,19,2,59.8,WELLINGTON,13,REM. KRUISHOF 115,PAARL,WESTERN CAPE,WESTERN CAPE,,,KOMPAGNIES,EARTHFILL,15,230,SIDE CHANNEL,106,1.9,0,IRRIGATION,LETUCHE FARMING (PTY)  LTD.,,,9/13/2010,Medium,Low,2,8/31/2010,A,,0,7/31/2016
G101/ET,23360,GINAKLOOF DAM,9,G10C,33,53,38.5,19,0,59,FRANSCHHOEK,10,FARM 1610,PAARL,WESTERN CAPE,WESTERN CAPE,,,BERG RIVER TRB.,EARTHFILL,19,506,SIDE CHANNEL,382,6.3,0.8,IRRIGATION,TERZOPECT INVESTMENTS (PTY) LTD,NINHAM SHAND,UNKNOWN,7/13/2011,Medium,Significant,2,3/23/2011,A,7/3/2012,1,
G101/EU,,LINWATER DAM,9,G10C,33,53,30.9,19,1,4.2,FRANSCHHOEK,10,FARM 1610,PAARL,WESTERN CAPE,WESTERN CAPE,,,BERG RIVER TR.,EARTHFILL,7,109,SIDE CHANNEL,58,1.8,0.8,IRRIGATION,TERZOPECT INVESTMENTS (PTY)LTD,,,7/13/2011,Small,Significant,2,3/23/2011,A,7/3/2012,1,
G101/EV,0,KOPLANDE DAM 1,9,G10D,33,37,5,18,59,59,WELLINGTON,2,REM. VERSAILLES 197,PAARL,WESTERN CAPE,WESTERN CAPE,1972,,BERG RIVER,EARTHFILL,5.8,430,OPEN CHANNEL,67,2.8,0,IRRIGATION,KOPLANDE FARMS (PTY) LTD.,,,11/20/2012,Small,Low,1,11/19/2012,A,,0,
G101/EW,0,KOPLANDE DAM 2,9,G10D,33,37,5,18,59,54,WELLINGTON,2,REM. VERSAILLES 197,PAARL,WESTERN CAPE,WESTERN CAPE,1995,,BERG RIVER,EARTHFILL,6.7,465,OPEN CHANNEL,207,8.4,2.2,IRRIGATION,KOPLANDE FARMS (PTY) LTD.,E. Ramsauer,E. Ramsauer,11/20/2012,Small,Significant,2,11/19/2012,A,2/11/2014,1,
G101/EX,0,KOPLANDE DAM 4,9,G10D,33,37,1,18,59,42,WELLINGTON,4,REM. FARM 138,PAARL,WESTERN CAPE,WESTERN CAPE,,,BERG RIVER,EARTHFILL,5.1,290,OPEN CHANNEL,60,2.76,0,IRRIGATION,KOPLANDE FARMS (PTY) LTD.,,,1/16/2013,Small,Significant,2,11/14/2012,A,,0,
G101/EY,0,KLEIN NORMANDIE DAM,9,G10C,33,52,49,18,59,37.6,FRANSCHHOEK,13.4,FARM 1281 PTN 1,PAARL,WESTERN CAPE,WESTERN CAPE,1980,,BERG RIVER TR,EARTHFILL,7.3,670,SIDE CHANNEL,182,4.5,0,IRRIGATION,APPLEMINT PROPERTIES 99,AURECON  S.A,,8/29/2013,Small,Significant,2,8/12/2013,A,,0,
G101/EZ,0,VERGESICHT DAM,9,G10D,33,35,47.1,18,59,53.8,WELLINGTON,5,OLIFANTSKOP 206,PAARL,WESTERN CAPE,WESTERN CAPE,1988,,BERGRIVIER TR,EARTHFILL,6,240,,87,2,0,,MOUTON CJ,VAN DER MERWE H,HANTAM GRONDVERSKUIWING,12/19/2012,Small,Significant,2,7/24/2013,A,,0,
G101/FA,0,DE HOOP DAM,9,G10C,33,45,23,18,57,26,PAARL,2.3,ERF 3426 PAARL MUNICIPAL AREA,PAARL,WESTERN CAPE,WESTERN CAPE,1964,,BERG RIVER TR.,EARTHFILL,10.9,107,SIDE CHANNEL,68,1.15,0,IRRIGATION,J.A CLIFT (PTY) LTD,,,1/27/2014,Small,Significant,2,1/10/2014,A,,0,
G101/FC,,WELGEMOED GROOT DAM,9,G10D,33,35,12,18,58,52,WELLINGTON,7.4,FARM 1533 PTN 58,PAARL,WESTERN CAPE,WESTERN CAPE,1988,,BERG RIVER TR.,EARTHFILL,6,659,SIDE CHANNEL SPILLWAY,331,11.9,,IRRIGATION,WELGEMOED HOOGLAND (PTY) LTD,UNKNOWN,,10/22/2014,Small,Low,1,10/21/2014,A,,0,
G101/FD,0,DAM 1 D (FREDERICKSBURG),9,G10C,33,50,22.1,18,56,52.2,PAARL,15,LA MOTTE 1602,PAARL,WESTERN CAPE,WESTERN CAPE,,,BERG RIVER TR.,EARTHFILL,5.3,,SIDE CHANNEL,100,2.2,0,IRRIGATION,RUPERT & ROTHSCHILD VIGNERONS (PTY) LTD,,,2/2/2015,Small,Significant,2,1/27/2015,A,,0,
G102/70,,WINTERHOEKPAD DAM,9,G10E,33,13,22,19,8,49,TULBAGH,8,VROLYKHEID 61 REM. PTN. 2 & PTN. 3 (VROLIKHEID),,WESTERN CAPE,WESTERN CAPE,1964,,KLEIN BERG RIVER TR.,EARTHFILL,6,240,OPEN CHANNEL,84,0.1,,IRRIGATION,HAUPTFLEISCH C.,UNKNOWN,NEETLING-WORCESTER,10/7/1987,Small,Low,1,8/4/1994,A,,0,
G102/71,,VROLIKHEID BIG,9,G10E,33,13,33,19,8,45,TULBAGH,8,VROLYKHEID 61 REM. OF  PORTIONS  2 & 3 (VROLIKHEID),TULBAGH,WESTERN CAPE,WESTERN CAPE,1972,,KLEIN BERG TR.,EARTHFILL,10,525,OPEN CHANNEL,200,0.3,0,IRRIGATION,VROLIKHEID FAMILY  TRUST,UNKNOWN,PENDERIS GRONVERSKUIWINGS,10/7/1987,Small,Significant,2,8/4/1994,A,6/2/2010,2,
G102/87,,ROODEZANDS DAM,9,G10E,33,12,1,19,6,1,TULBAGH,11,ROODE ZANDS KLOOF 66,,WESTERN CAPE,WESTERN CAPE,1984,,ROODEZANDS RIVER TR.,EARTHFILL,20,485,OPEN CHANNEL,478,6,,IRRIGATION,LOMBARD J.S.A.,NINHAM SHAND (CAPE) INC.,AJ NORMAN EARTHMOVING,11/17/1986,Medium,Significant,2,5/3/1989,A,4/6/2004,2,
G102/88,,DIE-HEUWEL  DAM,9,G10E,33,15,29,19,8,17,TULBAGH,4,DIE HEUWEL 171,TULBAGH,WESTERN CAPE,WESTERN CAPE,1981,,KLIP RIVER TR.,EARTHFILL,13,454,OPEN CHANNEL SPILLWAY,780,22,,IRRIGATION,SARONSBERG CELLAR,S.W.J. BESTER,PENDERIS GRONDVERSKUIWERS,11/17/1986,Medium,Significant,2,10/12/1988,A,6/5/2006,1,10/31/2006
G102/89,,GROOTSKUUR DAM,9,G10E,33,15,5,19,8,1,TULBAGH,4,THE OLD DROSDRY 108 (SNEEUSIG),,WESTERN CAPE,WESTERN CAPE,1972,,-,EARTHFILL,9,1020,INFORMATION NOT AVAILABLE,350,9,,IRRIGATION,SNEEUSIG (EDMS.) BPK.,"BESTER S.W.J., CERES",PENDERIS GRONDVERSKUIWERS,11/17/1986,Small,Significant,2,5/7/1996,A,12/2/1996,1,
G102/90,,VLAKFONTEIN DAM,9,G10F,33,23,11,18,54,58,RIEBEECK-KASTEEL,0,VLAKFONTEIN,,WESTERN CAPE,WESTERN CAPE,1977,,KROM RIVER TR.,EARTHFILL,6,510,SIDE CHANNEL SPILLWAY,57,12,,IRRIGATION,LAUBSCHER M.M.,"BESTER S.W.J., CERES",HERBST BROERS (EDMS.) BPK.,11/18/1986,Small,Low,1,2/10/1994,A,,0,
G102/91,,BLOU AM,9,G10E,33,16,50,19,7,20,TULBAGH,2,STRAATS KERK 190 (MONTPELLIER),,WESTERN CAPE,WESTERN CAPE,1955,,KLIP RIVER TR.,EARTHFILL,8,350,OPEN CHANNEL,377,15,,IRRIGATION,BRINK T.A.,UNKNOWN,WITZENBERG INGENIEURSWERKE,11/24/1986,Small,Significant,2,10/18/1991,A,1/27/1997,1,
G102/92,,WATERBROND AM,9,G10F,33,23,54,18,55,55,RIEBEECK-KASTEEL,3,PORTION 2 OF SWARTDAM 667,MALMESBURY,WESTERN CAPE,WESTERN CAPE,1969,,BERG RIVER TR.,EARTHFILL,6,458,OPEN CHANNEL,100,3,,IRRIGATION,WATERBRON TRUST,STATE (DWA),BRINK BROERS,10/24/1986,Small,Low,1,6/9/2010,A,,0,
G102/93,,BRANDWAG DAM,9,G10F,33,21,35,18,53,13,RIEBEECK-WES,2,BRANDWAG 642 PTN. 3,MALMESBURY,WESTERN CAPE,WESTERN CAPE,1966,,-,EARTHFILL,8,350,OGEE SPILLWAY,181,0,,IRRIGATION,BRANDWAG TRUST,UNKNOWN,UNKNOWN,10/20/1986,Small,Significant,2,3/22/2011,A,,0,7/31/2014
G102/94,,HEIDELAND DAM,9,G10E,33,13,48,19,7,36,TULBAGH,9,THEUNISKRAAL 62,,WESTERN CAPE,WESTERN CAPE,1987,,LIT/KLN BERG RIVER,EARTHFILL,9,700,SIDE CHANNEL SPILLWAY,235,8,,IRRIGATION,DU TOIT F.P.,"BESTER S.W.J., CERES",HERBST BROERS (EDMS.) BPK.,3/16/1987,Small,Low,1,3/16/1989,A,,0,
G102/95,,VLEI DAM,9,G10E,33,22,15,19,10,30,WOLSELEY,6,ARTOIS 243 RESTANT,TULBAGH,WESTERN CAPE,WESTERN CAPE,1989,,BOONTJIES RIVER,EARTHFILL,8,280,SIDE CHANNEL SPILLWAY,137,4,,IRRIGATION,LOUBSER C.P.,"BESTER S.W.J., CERES",HERBST BROERS (EDMS.) BPK.,12/19/1989,Small,Significant,2,4/13/1987,A,,0,3/31/2016
G102/97,,BRANDKOP DAM,9,G10E,33,12,58,19,7,59,TULBAGH,9,THEUNISKRAAL 333,,WESTERN CAPE,WESTERN CAPE,1986,,LIT/KLN BERG RIVER TR.,EARTHFILL & ROCKFILL,8,800,OPEN CHANNEL,233,9,,IRRIGATION,JORDAAN BROERS,OWNER,PENDERIS GROND VERSKUIWERS,5/17/1987,Small,Low,1,7/13/1994,A,,0,
G102/98,,KLIP DAM,9,G10E,33,13,14.5,19,8,12,TULBAGH,8,THEUNISKRAAL 333,,WESTERN CAPE,WESTERN CAPE,1983,,LIT/KLN BERG RIVER TR.,EARTHFILL & ROCKFILL,6,600,OPEN CHANNEL,67,3,,IRRIGATION,JORDAAN BROERS,OWNER,PENDERIS GROND VERSKUIWERS,5/17/1987,Small,Low,1,6/3/1994,A,,0,
G102/AB,,STRAATSKERK DAM C,9,G10E,33,17,50,19,7,35,TULBAGH,2,STRAATS KERK 190,,WESTERN CAPE,WESTERN CAPE,1966,UNKN,KLIP RIVER TR.,EARTHFILL,9,800,OGEE SPILLWAY,235,6,0.05,MUNICIPAL USE & INDUSTRIAL USE,RHODES FOOD GROUP (PTY) LTD,UNKNOWN,UNKNOWN,12/7/1987,Small,Significant,2,12/28/1989,O,11/12/2013,2,11/12/2021
G102/AC,,STRAATSKERK DAM B,9,G10E,33,17,40,19,6,50,TULBAGH,2,STRAATSKERK 190,,WESTERN CAPE,WESTERN CAPE,0,,KLIP RIVER (OFF-CHANNEL),EARTHFILL,8,408,OGEE SPILLWAY,84,1.7,,INFORMATION NOT AVAILABLE,RHODES FOOD GROUP (PTY) LTD,UNKNOWN,UNKNOWN,12/7/1987,Small,Significant,2,8/4/1994,O,9/4/2014,1,11/30/2020
